word,numInChap,numInKjv,relativeFreq
TOTAL (Act 8),883,790663,0
azotus,1,1,895.4280860702153
candace,1,1,895.4280860702153
haling,1,1,895.4280860702153
havock,1,1,895.4280860702153
humiliation,1,1,895.4280860702153
palsies,1,1,895.4280860702153
shearer,1,1,895.4280860702153
sorcery,1,1,895.4280860702153
eunuch,5,7,639.5914900501537
bewitched,2,3,596.9520573801434
consenting,1,2,447.71404303510764
readest,1,2,447.71404303510764
philip,14,36,348.2220334717503
perhaps,1,3,298.4760286900717
regions,1,4,223.85702151755382
returning,1,4,223.85702151755382
understandest,1,4,223.85702151755382
sorceries,1,5,179.08561721404305
burial,1,6,149.23801434503585
samaritans,1,7,127.91829801003075
stephen,1,7,127.91829801003075
believest,1,8,111.92851075877691
devout,1,9,99.49200956335724
purchased,1,9,99.49200956335724
persecution,1,10,89.54280860702153
esaias,2,21,85.27886534002049
beforetime,1,11,81.40255327911048
baptized,5,61,73.3957447598537
preached,5,61,73.3957447598537
ethiopians,1,13,68.8790835438627
laying,1,13,68.8790835438627
passing,1,13,68.8790835438627
miracles,2,27,66.32800637557149
preaching,2,27,66.32800637557149
gall,1,14,63.95914900501538
join,1,14,63.95914900501538
beholding,1,15,59.69520573801435
wondered,1,15,59.69520573801435
accord,1,16,55.964255379388455
csarea,1,16,55.964255379388455
hinder,1,16,55.964255379388455
scripture,2,32,55.964255379388455
bond,1,19,47.12779400369554
gaza,1,19,47.12779400369554
simon,4,76,47.12779400369554
apostles,3,60,44.771404303510764
ethiopia,1,20,44.771404303510764
whomsoever,1,20,44.771404303510764
greatest,1,21,42.639432670010244
chariot,3,64,41.973191534541336
bitterness,1,22,40.70127663955524
used,1,22,40.70127663955524
guide,1,23,38.93165591609631
read,3,70,38.37548940300922
testified,1,24,37.30950358625896
lamentation,1,25,35.81712344280861
perceive,1,25,35.81712344280861
lame,1,27,33.164003187785745
ghost,4,109,32.85974627780607
rejoicing,1,28,31.97957450250769
continued,1,29,30.876830554145354
dumb,1,29,30.876830554145354
giving,1,29,30.876830554145354
regard,1,30,29.847602869007176
crying,1,31,28.884776970006943
samaria,4,124,28.884776970006943
scattered,2,71,25.22332636817508
authority,1,37,24.20075908297879
caught,1,37,24.20075908297879
except,2,74,24.20075908297879
treasure,1,37,24.20075908297879
church,2,77,23.257872365460138
hearing,1,39,22.959694514620907
least,1,39,22.959694514620907
possessed,1,39,22.959694514620907
abroad,2,80,22.385702151755382
heed,2,80,22.385702151755382
thought,2,81,22.109335458523834
juda,1,41,21.83970941634671
desert,1,42,21.319716335005122
forgiven,1,42,21.319716335005122
sitting,1,43,20.823908978377098
entering,1,46,19.465827958048155
repent,1,46,19.465827958048155
spirits,1,46,19.465827958048155
money,3,140,19.18774470150461
desired,1,50,17.908561721404304
signs,1,53,16.894869548494626
queen,1,54,16.582001593892873
slaughter,1,56,15.989787251253844
believed,2,116,15.438415277072677
gift,1,59,15.176747221529073
loud,1,60,14.923801434503588
ran,1,61,14.67914895197074
prayed,1,65,13.775816708772542
led,1,68,13.168060089267872
opened,2,137,13.071942862338908
speaketh,1,74,12.100379541489396
villages,1,75,11.93904114760287
some,3,232,11.578811457804507
fallen,1,79,11.334532735066015
healed,1,79,11.334532735066015
matter,1,80,11.192851075877691
received,2,160,11.192851075877691
peter,2,162,11.054667729261917
prophet,3,244,11.009361713978056
receive,2,176,10.17531915988881
women,2,179,10.00478308458341
prison,1,90,9.949200956335725
committed,1,92,9.732913979024078
declare,1,95,9.425558800739108
thither,1,95,9.425558800739108
certain,2,196,9.137021286430768
water,4,396,9.044728142123386
still,1,101,8.865624614556586
charge,1,102,8.77870672617858
gospel,1,104,8.609885442982838
pray,3,313,8.58237782175925
generation,1,107,8.368486785702945
lamb,1,107,8.368486785702945
worship,1,108,8.291000796946436
taken,3,338,7.947586562753389
lot,1,113,7.924142354603674
sit,1,113,7.924142354603674
mayest,1,114,7.854632333949256
seeing,1,116,7.719207638536338
perish,1,120,7.461900717251794
both,3,361,7.441230632162453
wickedness,1,127,7.050614850946577
john,1,133,6.732542000527934
goeth,1,135,6.63280063755715
power,2,272,6.584030044633936
believe,1,143,6.261734867623883
offered,1,143,6.261734867623883
south,1,143,6.261734867623883
carried,1,145,6.175366110829071
arise,1,149,6.009584470269901
holy,4,611,5.862049663307465
hands,3,461,5.827080820413547
great,6,962,5.58479055761049
here,1,162,5.527333864630958
throughout,1,162,5.527333864630958
jerusalem,5,814,5.500172518858815
answered,3,492,5.459927354086678
joy,1,165,5.426836885274032
same,2,332,5.394145096808526
till,1,169,5.298391041835593
arose,1,173,5.175884890579279
himself,3,528,5.087659579944404
began,1,179,5.002391542291705
none,2,358,5.002391542291705
returned,1,185,4.840151816595759
many,3,556,4.831446507573103
sheep,1,188,4.762915351437315
christ,3,571,4.70452584625332
unclean,1,194,4.615608691083584
angel,1,203,4.410975793449336
doth,1,207,4.325739546232924
long,1,211,4.24373500507211
near,1,211,4.24373500507211
mouth,2,424,4.223717387123656
saul,2,425,4.213779228565719
part,1,214,4.184243392851473
thyself,1,215,4.164781795675419
way,3,664,4.045608822606394
through,2,463,3.8679398966315994
gave,2,465,3.8513035960009256
word,3,699,3.8430389960095073
went,6,1400,3.8375489403009224
can,1,235,3.810332281149852
lay,1,241,3.7154692368058724
concerning,1,242,3.700116058141385
jesus,4,983,3.643654470275545
were,11,2773,3.5520046688685056
spirit,2,505,3.5462498458226346
only,1,253,3.539241446917847
saw,2,548,3.267985715584727
stand,1,274,3.267985715584727
heart,3,833,3.224831042269683
iniquity,1,278,3.2209643383820694
laid,1,279,3.2094196633341046
down,4,1125,3.1837443060274317
spoken,1,287,3.1199584880495306
city,3,868,3.0947975325007437
judgment,1,294,3.045673762143589
spake,2,588,3.045673762143589
time,2,619,2.8931440583851864
at,5,1571,2.8498666011146248
heard,2,641,2.793847382434369
was,14,4523,2.7716102597795738
who,3,970,2.76936521465015
sight,1,333,2.688973231442088
had,6,2029,2.64788985530867
kingdom,1,342,2.6182107779830854
may,3,1027,2.6156614003998495
toward,1,346,2.5879424452896393
right,1,359,2.4942286520061705
then,6,2168,2.4781220094194145
death,1,372,2.4070647475005784
whom,2,763,2.3471247341290042
things,3,1162,2.3117764700607966
under,1,392,2.284255321607692
come,5,1972,2.2703551878048054
this,7,2786,2.249819311734209
where,1,401,2.2329877458110103
found,1,403,2.221905920769765
on,5,2016,2.220803784896367
when,7,2847,2.201614542497895
they,18,7377,2.18485909573863
commanded,1,443,2.021282361332314
said,9,4002,2.01370634048774
cities,1,448,1.9987234064067305
life,1,450,1.9898401912671448
would,1,451,1.9854281287587923
away,2,916,1.9550831573585488
other,1,464,1.9298019096340846
those,1,465,1.9256517980004628
thine,2,937,1.9112659254433624
might,1,475,1.8851117601478216
name,2,958,1.8693696995202824
saying,3,1445,1.8590202478966404
which,9,4414,1.8257482498033386
what,2,985,1.8181280935435842
art,1,495,1.8089456284246772
he,21,10430,1.80287534108097
given,1,498,1.7980483656028419
voice,1,505,1.7731249229113173
hast,2,1071,1.6721346145102058
how,1,543,1.6490388325418328
man,5,2737,1.6357838620208536
men,3,1677,1.6018391521828537
done,1,565,1.584828470920735
see,1,597,1.4998795411561394
with,10,6015,1.4886584972073402
because,2,1209,1.48127061384651
therefore,2,1237,1.447741448779653
every,2,1238,1.4465720291925932
called,1,624,1.4349809071638067
god,7,4470,1.40223637639631
like,1,669,1.3384575277581692
yet,1,683,1.3110220879505348
more,1,686,1.3052887552043955
sent,1,686,1.3052887552043955
came,3,2096,1.2816241689936285
made,2,1406,1.2737241622620417
them,9,6429,1.253515752781449
place,1,715,1.2523469735247765
that,18,12916,1.2478867721635083
him,9,6667,1.2087674778208994
go,2,1492,1.2003057454024333
nor,1,756,1.1844286852780623
there,3,2299,1.1684577025709637
his,11,8478,1.161796290017972
thou,7,5474,1.1450487034145973
should,1,783,1.1435863168201983
if,2,1595,1.1227938383325584
unto,11,9002,1.0941689565399209
me,5,4096,1.0930518628786805
and,62,51708,1.0736547794606899
to,16,13630,1.051126146524097
neither,1,879,1.0186895177135555
as,4,3520,1.017531915988881
give,1,880,1.017531915988881
also,2,1769,1.0123551001359132
out,3,2776,0.9676816492113277
one,2,1969,0.9095257349621283
earth,1,987,0.9072219717023456
for,9,8985,0.8969229576663257
but,4,3994,0.8967732459391239
did,1,1006,0.8900875607059794
into,2,2015,0.888762368307906
over,1,1008,0.8883215139585469
of,34,34747,0.8761779413010423
the,62,64016,0.8672291510927479
people,2,2143,0.8356771685209662
